0.020356	0.020074	0.035815	0.020061	0.021634	0.019842	0.026894	0.023785	0.023811	0.019093	0.021396	0.025671	0.024534	0.021434	0.038759	0.018681	0.021179	0.024413	0.022580	0.022202	0.019475	0.020375	0.018451	0.020055	0.020353	0.019388	0.022040	0.021580	0.022568	0.024502	0.020473	0.019000	0.021229	0.019816	0.026367	0.018770	0.024755	0.019837	0.019079	0.020300	0.024956	0.019478	0.020865	0.019331	0.024654	0.023799	0.018266	0.021523	0.029557	0.021635	
0.020034	0.019844	0.034844	0.021391	0.021382	0.020764	0.026756	0.022412	0.024244	0.018729	0.021611	0.026209	0.023722	0.021323	0.041685	0.018815	0.021793	0.023408	0.023274	0.021103	0.020331	0.021359	0.017963	0.019824	0.020493	0.019840	0.021978	0.019840	0.021964	0.024242	0.021220	0.019362	0.021636	0.018801	0.029000	0.019538	0.024556	0.020503	0.019684	0.020302	0.025201	0.019088	0.021416	0.019451	0.024095	0.023612	0.018826	0.022252	0.028832	0.020946	
0.020803	0.018641	0.035716	0.021122	0.021399	0.020609	0.027959	0.023264	0.024408	0.019855	0.020509	0.025856	0.025656	0.022452	0.041715	0.018632	0.021544	0.025284	0.022813	0.021924	0.019812	0.021698	0.019407	0.020285	0.020911	0.019221	0.021737	0.020873	0.022883	0.024059	0.022144	0.019247	0.021319	0.018804	0.028185	0.018579	0.024618	0.019353	0.019574	0.020724	0.025523	0.018719	0.020427	0.019257	0.023914	0.026479	0.018531	0.020921	0.029085	0.020773	
0.020152	0.020163	0.034758	0.020484	0.021301	0.021037	0.028588	0.023469	0.023516	0.019965	0.021532	0.024647	0.025008	0.021507	0.038373	0.018945	0.021334	0.025215	0.022532	0.021361	0.019886	0.022322	0.018696	0.020479	0.020504	0.019674	0.021256	0.021741	0.021620	0.025069	0.020766	0.018744	0.021281	0.019263	0.026280	0.019245	0.024253	0.020121	0.019492	0.019919	0.024500	0.018978	0.021691	0.019768	0.023830	0.024059	0.019702	0.021830	0.027156	0.020702	
0.020039	0.019073	0.034993	0.020961	0.021532	0.020926	0.026751	0.021922	0.024040	0.018638	0.019948	0.024494	0.023962	0.021925	0.044308	0.018665	0.021080	0.023950	0.023019	0.021342	0.020123	0.021839	0.018928	0.020188	0.020969	0.019845	0.021720	0.020931	0.023033	0.024482	0.021404	0.019000	0.021089	0.018489	0.027663	0.018610	0.025367	0.019968	0.018831	0.020056	0.024232	0.019234	0.020308	0.018753	0.022912	0.023371	0.018591	0.022202	0.027620	0.020921	
0.021218	0.020936	0.059916	0.020626	0.022059	0.020732	0.036673	0.027465	0.027612	0.018877	0.022358	0.030339	0.030266	0.024123	0.070429	0.017934	0.022001	0.029224	0.026100	0.024047	0.018751	0.021602	0.017220	0.020042	0.021584	0.019460	0.022870	0.022075	0.024105	0.030017	0.021359	0.018466	0.022966	0.019009	0.034830	0.018044	0.030651	0.021175	0.018847	0.020491	0.030766	0.018537	0.021342	0.018654	0.028676	0.030043	0.017101	0.024232	0.042159	0.022252	
0.020969	0.018815	0.063023	0.022072	0.023094	0.021351	0.034586	0.024292	0.029414	0.017260	0.024540	0.031133	0.028124	0.025100	0.076421	0.017280	0.023762	0.027920	0.026478	0.022638	0.020461	0.022996	0.017260	0.019633	0.021603	0.019458	0.022693	0.021412	0.023519	0.029320	0.022162	0.018771	0.024121	0.017617	0.041699	0.019037	0.030560	0.021278	0.019235	0.020115	0.032880	0.018008	0.022037	0.018770	0.030051	0.031074	0.017822	0.026732	0.038960	0.021967	
0.021922	0.019060	0.063618	0.022985	0.024026	0.022294	0.037363	0.027170	0.030271	0.020195	0.021671	0.031331	0.031635	0.024018	0.079624	0.017279	0.023255	0.032008	0.026028	0.023636	0.019754	0.023983	0.017673	0.020478	0.021368	0.018993	0.022566	0.022071	0.023746	0.028299	0.023297	0.017797	0.023318	0.018312	0.039784	0.017750	0.029240	0.019395	0.018791	0.020464	0.030673	0.018228	0.021588	0.018116	0.029812	0.034931	0.016966	0.024060	0.040485	0.023117	
0.021669	0.021402	0.063302	0.022312	0.022061	0.021979	0.037764	0.027536	0.026714	0.019696	0.023541	0.030227	0.031386	0.023553	0.070764	0.017372	0.023219	0.029778	0.027277	0.023156	0.019886	0.023880	0.017897	0.020034	0.021485	0.019473	0.022800	0.022758	0.022125	0.031181	0.022374	0.017154	0.022683	0.018345	0.033476	0.018661	0.029599	0.021199	0.020203	0.021009	0.030589	0.018388	0.022790	0.018738	0.030054	0.029157	0.018361	0.024600	0.040310	0.021955	
0.021448	0.020208	0.061481	0.021997	0.024128	0.021382	0.033898	0.024789	0.028005	0.017350	0.019779	0.027076	0.028201	0.024728	0.087992	0.017646	0.022621	0.030047	0.026261	0.022178	0.020027	0.023624	0.017424	0.021396	0.022352	0.019341	0.024139	0.021537	0.023933	0.028911	0.022284	0.018829	0.021797	0.017941	0.036839	0.017407	0.033335	0.020496	0.018546	0.020002	0.028111	0.018430	0.021287	0.017581	0.027082	0.029878	0.017794	0.026229	0.037794	0.022004	
